Game ID,Round,Computer Choice,Player Choice,Round Winner
564693,9,paper,paper,Draw
564693,10,scissors,rock,Player
738568,1,lizard,lizard,Draw
738568,2,spock,spock,Draw
738568,3,rock,spock,Player
738568,4,scissors,rock,Player
738568,5,spock,scissors,Computer
738568,6,rock,spock,Player
738568,7,spock,rock,Computer
738568,8,rock,lizard,Computer
738568,9,spock,spock,Draw
738568,10,lizard,spock,Computer
863767,1,paper,spock,Computer
863767,2,spock,scissors,Computer
863767,3,scissors,rock,Player
863767,4,paper,paper,Draw
863767,5,paper,lizard,Player
863767,6,lizard,spock,Computer
863767,7,rock,lizard,Computer
863767,8,paper,scissors,Player
863767,9,scissors,rock,Player
863767,10,lizard,lizard,Draw
624473,1,spock,scissors,Computer
624473,2,spock,spock,Draw
624473,3,spock,rock,Computer
624473,4,paper,paper,Draw
624473,5,lizard,spock,Computer
624473,6,rock,lizard,Computer
624473,7,rock,lizard,Computer
624473,8,scissors,spock,Player
624473,9,spock,spock,Draw
624473,10,lizard,spock,Computer
92999,1,paper,lizard,Player
353718,1,spock,scissors,Computer
92999,2,spock,scissors,Computer
353718,2,lizard,lizard,Draw
92999,3,spock,paper,Player
353718,3,paper,spock,Computer
92999,4,lizard,lizard,Draw
353718,4,lizard,paper,Computer
92999,5,spock,spock,Draw
353718,5,spock,spock,Draw
92999,6,paper,rock,Computer
353718,6,paper,lizard,Player
92999,7,spock,spock,Draw
353718,7,lizard,rock,Player
92999,8,scissors,spock,Player
353718,8,rock,paper,Player
92999,9,scissors,paper,Computer
353718,9,scissors,lizard,Computer
92999,10,lizard,lizard,Draw
353718,10,spock,spock,Draw
541187,1,spock,paper,Player
521221,1,spock,spock,Draw
541187,2,lizard,lizard,Draw
521221,2,rock,scissors,Computer
541187,3,spock,spock,Draw
521221,3,spock,paper,Player
541187,4,lizard,paper,Computer
521221,4,spock,paper,Player
541187,5,paper,scissors,Player
521221,5,paper,paper,Draw
541187,6,paper,spock,Computer
521221,6,scissors,paper,Computer
541187,7,rock,rock,Draw
521221,7,rock,scissors,Computer
541187,8,lizard,rock,Player
521221,8,scissors,lizard,Computer
541187,9,rock,spock,Player
521221,9,lizard,spock,Computer
541187,10,scissors,lizard,Computer
521221,10,rock,paper,Player
956885,1,lizard,spock,Computer
956885,2,lizard,paper,Computer
956885,3,lizard,spock,Computer
956885,4,lizard,paper,Computer
956885,5,scissors,rock,Player
956885,6,scissors,lizard,Computer
956885,7,spock,scissors,Computer
956885,8,spock,rock,Computer
